title,abstract,authors,date,publisher,keywords,doi,url
Oxidation protective ZrB2–SiC coatings with ferrocene addition on SiC coated graphite,"In order to further improve the oxidation protective ability of (ZrB2–SiC)/SiC coated graphite, ferrocene was introduced into the outer ZrB2–SiC coatings during pack cementation process. The ferrocene addition increased the porosity of the outer ZrB2–SiC coatings, which was favorable to thermal shock resistance of (ZrB2–SiC)/SiC coated specimens. The ZrB2–SiC coating with 3wt% ferrocene (ZS50-3f) has optimum oxidation protective ability. Its weight retention after 15 thermal shock cycles between 1500°C and room temperature was 96. 2%. The weight loss of ZS50-3f was only 0.2% after 19h oxidation at 1500°C.","Wang, Peng;Zhou, Changling;Zhang, Xinghong;Zhao, Guangdong;Xu, Baosheng;Cheng, Yehong;Zhou, Peng;Han, Wenbo",2016-02-01,Ceramics International,"C. Thermal Shock Resistance,ZrB2–SiC,Coating,Oxidation resistance,Ferrocene",10.1016/j.ceramint.2015.10.072,https://doi.org/10.1016/j.ceramint.2015.10.072
TiO2 optical coating layers for self-cleaning applications,"TiO2 films deposited by various coating techniques were investigated for self-cleaning applications. The optical coating layers of TiO2 films prepared from a sol–gel precursor were deposited on glass substrates using spin coating, dip coating and screen printing techniques. Effects of film deposition techniques on crystal structure, microstructure, thickness, photocatalytic activity, hydrophilicity and optical properties of the films were investigated using XRD, AFM, SEM, surface profilometer, UV–vis spectrophotometer and contact angle measurement. Dip coating the TiO2 optical film two and three times resulted in superhydrophilic surfaces. Increasing number of dipping times was found to increase the photocatalytic activity.","Euvananont, C.;Junin, C.;Inpor, K.;Limthongkul, P.;Thanachayanont, C.",2008-05-31,Ceramics International,"A. Sol–gel processes,Optical coating,Titanium dioxide",10.1016/j.ceramint.2007.09.043,https://doi.org/10.1016/j.ceramint.2007.09.043
Controllable preparation of alumina nanorods with improved solid electrolyte electrochemical performance,"Alumina powders have been widely used in lithium-ion batteries such as separator coating, electrode surface modification and electrolyte fillers. Rod-like alumina with its special aspect ratio is expected to open up a new application direction. In this work, alumina nanorods were prepared by a facile hydrothermal method. The aspect ratio and morphology of alumina nanorods were optimized by adjusting the hydrothermal temperature, hydrothermal synthesis time, volume ratio, directing agent, and sintering temperature. γ-Al2O3 nanorods with a diameter of 200–300 nm and a mean length of 5 μm and α-Al2O3 with a diameter of 100–200 nm and mean length of 5 μm were obtained by calcining the alumina precursor (AACH) at 800 °C and 1200 °C, respectively. The prepared alumina nanorods were added into polymer solid electrolyte, which promoted the dissociation of the lithium salt and stabilized the propylene polycarbonate (PPC) polymer, resulting in an improved potential window (4.5 V) and ionic conductivity (3.7 × 10−4 S/cm) of the PPC-based polymer solid electrolyte (SE). An NCM622/SE/Li solid-state battery showed enhanced electrochemical performance at ambient temperature with an initial discharge capacity of 188.5 mAh/g and a retention capacity of 158.1 mAh/g after 200 cycles at a current density of 0.5 C. These alumina nanorods have potential to be widely used in high-performance solid electrolytes.","Hu, Xin-yu;Liu, Quan-yao;Jing, Mao-xiang;Chen, Fei;Ju, Bo-wei;Tu, Fei-yue;Shen, Xiang-qian;Qin, Shi-biao",2020-07-31,Ceramics International,"Solid-state battery,Composite solid electrolyte,Alumina nanorods,Ionic conductivity,Li–ion transport,Hydrothermal synthesis",10.1016/j.ceramint.2020.03.178,https://doi.org/10.1016/j.ceramint.2020.03.178
The role of a MnO2 functional layer on the surface of Ni-rich cathode materials: Towards enhanced chemical stability on exposure to air,"The severe degradation of Ni-rich cathode materials on exposure to air is a crucial restriction for their large-scale application. To overcome this issue, a MnO2 functional layer has been introduced to the surface of LiNi0.8Co0.15Al0.05O2 oxide via a wet-chemical method. Compared with pristine sample, the modified LiNi0.8Co0.15Al0.05O2 shows an enhanced chemical stability because of its low sensitivity to moisture and CO2. The formation of absorbed Li2CO3/LiOH species and spontaneous reduction of Ni3+ to Ni2+ on the surface of MnO2-modified sample have been delayed remarkably, which is confirmed by characterizations of SEM, TEM, XPS and FTIR. Benefit from these merits, the modified LiNi0.8Co0.15Al0.05O2 displays a specific capacity of 183 mAh g−1 at 0.1 C after air-storage for 40 days, while the pristine sample drops from 195 to 144 mAh g−1 promptly. Meanwhile, the MnO2 layer inhibits the generation of HF and protects the active material against the erosion of electrolyte in the working cell. Therefore, the MnO2 modified LiNi0.8Co0.15Al0.05O2 after storage shows a capacity retention of 87.1% at 1 C after 100 cycles, which is more stable than that of stored pristine sample (70.3%).","Zhao, Junkai;Wang, Zhixing;Wang, Jiexi;Guo, Huajun;Li, Xinhai;Yan, Guochun;Gui, Weihua;Chen, Ning",2018-08-01,Ceramics International,"Lithium ion battery,Ni-rich cathode materials,LiNi0.8Co0.15Al0.05O2,Coating,Storage performance",10.1016/j.ceramint.2018.04.166,https://doi.org/10.1016/j.ceramint.2018.04.166
Sensitivity analysis and multi-objective optimization of double-ceramic-layers thermal barrier system,"The low residual stress and excellent thermal insulation performance are the two primary performance indicators to evaluate the Double-Ceramic-Layers Thermal Barrier Coating System (DCL-TBCs). Based on the theoretical and numerical models, the sensitivity analysis was utilized to quantify the effect of material properties of the top coating (TC) and geometric parameters on the objective functions discussed above in the present work, and the results show that the thickness ratio and the elastic modulus of TC dominate the influence on the residual stresses in YSZ and TC respectively, and the thermal conductivity of TC has a decisive effect on the overall thermal insulation performance in DCL TC/YSZ systems. Besides, a fast multi-objective optimization method combining back propagation neural network (BPNN) and non-dominated sorting genetic algorithm with constraints (Constrained NSGA-II) has been developed to find the optimal coating structure which can make the residual stresses in ceramic layers and the equivalent thermal conductivity of entire TBCs minimized for various DCL-TBC systems. And the feasible design parameters including the total thickness of two ceramic layers (TH) and the thickness ratio (TR) of YSZ to TH were obtained considering the limitation of YSZ operating temperature and the sintering temperature of the TC. Furthermore, the reference structural parameters were chosen from the optimal solutions by using a typical decision-making TOPSIS method. Finally, the results of sensitivity analysis can also be used to account for the difference in Pareto frontiers of the LZ/YSZ, LaPO4/YSZ and LZ7C3/YSZ DCL-TBC systems.","Chen, Q.;Hu, P.;Pu, J.;Wang, J.H.",2019-10-01,Ceramics International,"DCL-TBCs,Multi-objective optimization,Pareto frontier,Sensitivity analysis",10.1016/j.ceramint.2019.05.278,https://doi.org/10.1016/j.ceramint.2019.05.278
Thermo-physical and mechanical properties of Yb2O3 and Sc2O3 co-doped Gd2Zr2O7 ceramics,"Ceramic materials for the thermal barrier coating (TBC) application of Gd2Zr2O7 (GZO), (Gd0.94Yb0.06)2Zr2O7 (GYb0.06Z), (Gd0.925Sc0.075)2Zr2O7 (GSc0.075Z), (Gd0.865Sc0.075Yb0.06)2Zr2O7 (GSc0.075Yb0.06Z), and (Gd0.8Sc0.1Yb0.1)2Zr2O7 (GSc0.1Yb0.1Z) were successfully synthesized by chemical co-precipitation. The effects of the doping of Sc2O3 and Yb2O3 on the phases, thermo-physical and mechanical properties of the ceramics were investigated. The results show that both Yb2O3 and Sc2O3 doping promoted the phase transition of GZO from pyrochlore to fluorite. All the Sc2O3-doped samples exhibited enhanced fracture toughness, as compared to the undoped sample. Furthermore, the GSc0.075Yb0.06Z sample revealed a thermal conductivity of ~0.8 W/mK at 1200 °C, which was nearly 30% lower than that of the undoped sample. The associated mechanisms related to the effects of the doping on the thermophysical and mechanical properties are discussed.","Guo, Yiqian;He, Wenting;Guo, Hongbo",2020-08-01,Ceramics International,"Thermal barrier coatings,Gd2Zr2O7,Doping,Fracture toughness,Thermal conductivity",10.1016/j.ceramint.2020.04.209,https://doi.org/10.1016/j.ceramint.2020.04.209
Electrophoretic deposition of titania nanostructured coatings for photodegradation of methylene blue,"The suspensions of titania nanoparticles were prepared in different alcohols (methanol, ethanol, isopropanol and butanol) using polyethyleneimine (PEI) as dispersant. The results of sedimentation, conductivity, zeta potential, FTIR and thermal analysis showed that PEI macromolecules are protonated in the suspensions and then adsorbed on the particles enhancing their positive surface charge and so colloidal stability. Optimum concentration of PEI (PEI*) was lower in large molecular size alcohols due to its higher adsorption efficiency. PEI* was 0.75, 0.5, 0.5 and 0.25 g/l in methanolic, ethanolic, isopropanolic and butanolic suspensions, respectively. Electrophoretic deposition (EPD) was performed at 60 V in different alcoholic suspensions. EPD rate was the fastest in the suspensions with PEI* due to the highest mobility of particles. In contrast to the coatings deposited for 1 min from isopropanolic and butanolic suspensions, those deposited at same conditions from methanolic and ethanolic ones severely cracked during drying owing to their higher thickness and lower PEI contents (acting as the binder). The coatings deposited from methanolic and ethanolic suspensions with PEI* had finer and rougher microstructures. The sintered coating deposited at 60 V for 10 s from ethanolic suspension with PEI* had crack-free microstructure with the thickness of ≈ 130 μm. This coating degraded ≈ 24% of methylene blue from its aqueous solution (30 ml with the concentration of 5 mg/l) within 2 h under UV illumination. Photodegradation of MB on the surface of titania coating obeyed the first order kinetics law.","Farrokhi-Rad, Morteza;Mohammadalipour, Mehrdad;Shahrabi, Taghi",2018-06-15,Ceramics International,"Electrophoretic deposition (EPD),Titania nanoparticles,Polyethyleneimine (PEI),Alcohol,Methylene blue (MB),Photocatalyst",10.1016/j.ceramint.2018.03.106,https://doi.org/10.1016/j.ceramint.2018.03.106
Dense yttria-stabilized zirconia coatings fabricated by plasma spray-physical vapor deposition,"Plasma spray-physical vapor deposition (PS-PVD) is a novel technique which can offer new opportunities to obtain advanced microstructures. In this study, dense yttria-stabilized zirconia (YSZ) coatings were deposited using PS-PVD with proper parameters. The dependencies of the microstructure of the as-sprayed coatings on axial spray distance and radial position were discussed. Four typical coatings were selected for the current work. The corresponding microstructures, phase compositions and mechanical properties were studied in detail. These as-sprayed coatings had dense lamellar or lamellar/columnar hybrid microstructures, the lowest porosity was 0.44%. Both monoclinic and tetragonal zirconia were detected in the as-sprayed coatings. The distribution of yttrium was not homogeneous, especially in the coatings deposited at shorter spray distance. Furthermore, oxygen got lost partly during the spraying process with decreasing spray distance. The hardness (H) and Young's modulus (E) of the coatings changed simultaneously with the different microstructures. The maximum values of H and E were 16.6±0.6 and 234.3±10.1GPa respectively, which were found in the densest coatings. The dense PS-PVD ceramic coatings might be applicable in anti-corrosion fields (such as alkali corrosion, marine corrosion and hot corrosion).","Shao, Fang;Zhao, Huayu;Liu, Chenguang;Zhong, Xinghua;Zhuang, Yin;Ni, Jinxing;Tao, Shunyan",2017-02-01,Ceramics International,"B. Porosity,B. Microstructure,D. ZrO2,C. Mechanical properties",10.1016/j.ceramint.2016.11.014,https://doi.org/10.1016/j.ceramint.2016.11.014
Microstructure and oxidation protection of borosilicate glass coating prepared by pulse arc discharge deposition for C/C composites,"A borosilicate glass coating for SiC pre-coated carbon/carbon composites (SiC-C/C) was prepared by pulse arc discharge deposition (PADD). Its thickness, compactness and oxidation resistance increases with the rise of deposition voltage from 300 to 400V. The glass coating prepared at a deposition voltage of 400V can protect C/C composites from oxidation in air at 1823K for 156h with a weight loss of 2.13%. The failure mechanism of the borosilicate glass/SiC coatings was investigated.","Jian-Feng, Huang;Yong-Liang, Zhang;Kong-Jun, Zhu;Cui-Yan, Li;Li-Yun, Cao;Lei, Zhou;Hai-Bo, Ouyang;Bo-Ye, Zhang;Wei, Hao;Chun-Yan, Yao",2015-04-30,Ceramics International,"Ceramic matrix composites,Weight loss,Oxidation,Pulse arc discharge deposition",10.1016/j.ceramint.2014.12.012,https://doi.org/10.1016/j.ceramint.2014.12.012
Novel double-ceramic-layer (La0.8Eu0.2)2Zr2O7/YSZ thermal barrier coatings deposited by plasma spraying,"Pyrochlore-type (La0.8Eu0.2)2Zr2O7 feedstocks prepared by spray drying have been used to produce ceramic thermal barrier coatings. Double-ceramic-layer thermal barrier coatings with a first layer of 8wt% yttria-stabilized zirconia (YSZ) and a top layer of (La0.8Eu0.2)2Zr2O7 were deposited by plasma spraying. Plasma sprayed (La0.8Eu0.2)2Zr2O7 coatings are composed of a defect fluorite-type phase and a t-ZrO2 phase. However, after thermal shock tests at 1250°C for 32 cycles, (La0.8Eu0.2)2Zr2O7 coatings exhibit a pyrochlore-type structure. The thermal shock failure of double-ceramic-layer (La0.8Eu0.2)2Zr2O7/YSZ coatings mainly occurs at the interface between the (La0.8Eu0.2)2Zr2O7 and YSZ layers, and is not caused by thermal grown oxide layer from the bond coat.","Liu, Zhan-Guo;Zhang, Wei-Heng;Ouyang, Jia-Hu;Zhou, Yu",2014-08-31,Ceramics International,"Thermal barrier coatings,Plasma spraying,Microstructure,Thermal shock",10.1016/j.ceramint.2014.03.159,https://doi.org/10.1016/j.ceramint.2014.03.159
